gender,senior_citizen,partner,dependents,tenure,phone_service,internet_service,monthly_charges,contract,payment_method,total_charges,churn
Male,1,Yes,Yes,5,Yes,Fiber optic,81.32,Month-to-month,Electronic check,356.84,0
Female,0,No,No,36,Yes,Fiber optic,71.38,One year,Credit card (automatic),2446.43,1
Female,1,No,No,41,Yes,DSL,108.84,Month-to-month,Credit card (automatic),4641.58,0
Male,0,No,Yes,53,Yes,DSL,27.49,Month-to-month,Electronic check,1347.68,0
Male,0,Yes,Yes,41,Yes,Fiber optic,47.32,Month-to-month,Electronic check,1871.86,0
Female,0,Yes,No,13,Yes,DSL,106.31,Month-to-month,Bank transfer (automatic),1176.22,0
Male,0,No,No,26,Yes,DSL,113.82,One year,Mailed check,2469.71,0
Female,1,No,No,32,Yes,Fiber optic,61.44,Month-to-month,Electronic check,2116.35,1
Male,0,No,No,71,Yes,Fiber optic,37.65,Two year,Electronic check,2316.32,0
Male,0,No,No,38,Yes,DSL,60.87,Two year,Electronic check,2098.51,0
Female,0,Yes,Yes,46,Yes,Fiber optic,64.53,Month-to-month,Mailed check,2823.58,0
Female,1,Yes,No,53,Yes,No,71.0,Two year,Electronic check,3452.04,0
Female,1,Yes,Yes,26,Yes,Fiber optic,45.98,Two year,Bank transfer (automatic),1010.55,0
Female,1,Yes,No,70,Yes,DSL,49.89,Month-to-month,Electronic check,3042.48,1
Female,0,Yes,Yes,49,Yes,DSL,84.87,Two year,Mailed check,3943.61,0
Female,1,No,Yes,61,Yes,DSL,81.42,Month-to-month,Mailed check,4639.26,0
Female,1,Yes,No,54,Yes,Fiber optic,85.53,One year,Electronic check,4745.77,1
Male,1,Yes,No,45,No,Fiber optic,56.48,Month-to-month,Credit card (automatic),2290.15,1
Female,0,No,No,2,Yes,DSL,52.32,Two year,Bank transfer (automatic),111.39,0
Male,1,Yes,No,42,Yes,DSL,53.86,Two year,Credit card (automatic),2021.27,0
Female,0,Yes,No,9,Yes,DSL,115.02,Two year,Mailed check,938.02,0
Male,0,No,No,44,No,DSL,58.32,Two year,Mailed check,2737.55,0
Male,0,Yes,No,51,Yes,No,79.83,Month-to-month,Electronic check,4228.18,1
Female,0,No,No,39,Yes,DSL,71.33,One year,Mailed check,2510.39,1
Female,0,No,No,22,Yes,DSL,107.37,Month-to-month,Bank transfer (automatic),2179.72,1
Female,0,Yes,No,4,Yes,Fiber optic,55.65,Month-to-month,Mailed check,231.28,1
Male,0,No,No,48,Yes,DSL,62.28,Month-to-month,Electronic check,2518.25,1
Female,1,No,No,50,Yes,DSL,103.97,Two year,Electronic check,4661.06,0
Female,0,No,No,34,Yes,Fiber optic,34.42,One year,Electronic check,1121.37,1
Male,1,No,Yes,52,Yes,DSL,78.62,Month-to-month,Electronic check,4233.43,1
Male,1,No,Yes,56,Yes,DSL,58.79,Two year,Bank transfer (automatic),3182.94,0
Male,1,No,No,37,Yes,Fiber optic,118.55,Two year,Credit card (automatic),4155.38,1
Male,1,No,Yes,3,No,Fiber optic,91.58,Month-to-month,Electronic check,294.01,1
Female,0,Yes,No,63,Yes,DSL,19.08,Month-to-month,Electronic check,1022.05,0
Female,1,No,No,34,Yes,No,103.63,One year,Electronic check,3603.81,0
Male,1,No,Yes,49,Yes,DSL,89.72,One year,Electronic check,3750.15,0
Female,0,No,No,66,Yes,No,75.22,Month-to-month,Bank transfer (automatic),5016.82,0
Female,0,Yes,Yes,26,Yes,No,42.09,Month-to-month,Electronic check,1051.88,0
Male,1,Yes,No,45,Yes,Fiber optic,33.23,Month-to-month,Credit card (automatic),1329.08,1
Female,0,No,No,1,Yes,DSL,82.1,Month-to-month,Credit card (automatic),78.92,1
Male,0,No,Yes,64,Yes,No,62.87,Month-to-month,Mailed check,4219.42,0
Female,1,Yes,Yes,4,Yes,Fiber optic,105.89,Month-to-month,Credit card (automatic),399.32,1
Female,1,Yes,No,39,Yes,DSL,44.76,Month-to-month,Bank transfer (automatic),1434.41,0
Male,0,Yes,No,25,Yes,Fiber optic,83.03,One year,Credit card (automatic),1732.66,1
Male,1,No,Yes,2,Yes,Fiber optic,43.38,Month-to-month,Electronic check,85.41,1
Female,0,Yes,No,33,Yes,No,82.9,Month-to-month,Credit card (automatic),2725.47,0
Male,1,No,Yes,68,Yes,Fiber optic,22.93,Month-to-month,Electronic check,1441.46,1
Female,1,Yes,No,12,Yes,No,57.95,Two year,Mailed check,614.12,0
Female,0,Yes,Yes,21,Yes,Fiber optic,35.61,Month-to-month,Credit card (automatic),752.41,1
Female,0,Yes,No,13,Yes,Fiber optic,79.81,Month-to-month,Mailed check,932.82,1
Female,1,No,Yes,9,Yes,Fiber optic,50.31,Month-to-month,Electronic check,380.0,1
Male,0,No,No,16,Yes,No,96.7,One year,Electronic check,1433.48,1
Male,0,No,No,41,Yes,No,29.69,Month-to-month,Electronic check,1168.81,0
Male,0,No,Yes,56,Yes,No,74.73,Month-to-month,Mailed check,4482.27,0
Male,1,Yes,No,50,Yes,Fiber optic,78.56,Two year,Mailed check,3825.78,0
Male,0,No,Yes,56,Yes,Fiber optic,20.25,One year,Mailed check,991.3,0
Female,1,Yes,No,52,Yes,DSL,21.67,Month-to-month,Credit card (automatic),1167.82,0
Male,1,Yes,No,27,Yes,No,49.44,Month-to-month,Electronic check,1195.77,1
Female,0,Yes,No,65,No,DSL,80.13,Two year,Credit card (automatic),5569.98,0
Female,1,Yes,Yes,12,Yes,DSL,116.19,Two year,Bank transfer (automatic),1261.24,0
Female,1,No,Yes,51,Yes,Fiber optic,27.26,One year,Bank transfer (automatic),1468.77,1
Female,0,No,Yes,8,No,Fiber optic,89.72,One year,Bank transfer (automatic),752.59,0
Male,1,No,No,55,Yes,Fiber optic,88.66,Two year,Credit card (automatic),5093.97,1
Female,0,No,Yes,6,No,DSL,86.29,Two year,Electronic check,429.85,0
Male,0,No,No,15,No,DSL,70.65,Month-to-month,Bank transfer (automatic),1103.16,0
Male,0,Yes,No,28,Yes,DSL,116.62,Two year,Credit card (automatic),3289.97,1
Female,1,Yes,No,50,Yes,DSL,69.18,One year,Bank transfer (automatic),3137.03,0
Male,1,Yes,No,3,Yes,DSL,103.51,One year,Electronic check,294.2,1
Male,0,No,Yes,18,Yes,Fiber optic,44.78,Month-to-month,Bank transfer (automatic),795.06,1
Male,1,No,No,24,Yes,DSL,100.24,Month-to-month,Credit card (automatic),2562.9,0
Female,1,Yes,Yes,53,Yes,Fiber optic,119.65,Two year,Electronic check,6486.17,0
Male,1,No,No,70,Yes,DSL,110.83,One year,Bank transfer (automatic),7225.97,0
Male,1,No,No,44,Yes,Fiber optic,49.02,Month-to-month,Credit card (automatic),2130.59,1
Male,0,No,No,37,Yes,No,104.31,One year,Mailed check,3351.28,1
Female,1,No,No,24,Yes,DSL,27.72,Month-to-month,Electronic check,618.86,0
